company,SUPPORT,NEI,CONTRADICT
Global Nuclear Fuel-Americas (GNF-A),,2.0,
Global Power Synergy Public Company Limited (GPSC),,2.0,
Goldman Sachs,,1.0,
Goodwin International,,1.0,
Google-X,,3.0,
GosComGeology,,1.0,
Government of Canada’s Alberta province,1.0,,
Graham Construction,,1.0,
Granitor Growth Management,,1.0,
Grant County Public Utility District,,1.0,
Graphitech,,2.0,
Great British Energy,1.0,1.0,
Great British Nuclear,6.0,27.0,2.0
Green Energy Partners,,2.0,
Greenpeace Energy,,1.0,
Gresham House Secure Income Renewable Energy & Storage LP (SIRES),,1.0,
Grouped Entrepreneurs International SA,,1.0,
Groupement des Industriels Français de l'Energie Nucléaire (Gifen),,,1.0
Grupa Azoty,,1.0,
Grupa Azoty Police,,1.0,
Grupa Azoty Zakłady Chemiczne Police (GAP),,1.0,
Grupa Powen-Wafapomop,,1.0,
Gruppo Aturia,,1.0,
Guangdong Energy Group,,1.0,
Guangxi Fangchenggang Nuclear Power Co,,2.0,
Guangxi Investment Group,,3.0,
Guizhou Aerospace Xinli Technology,,1.0,
H Line Shipping,,,1.0
HAEA,,1.0,
HAEK CJSC,,1.0,
HALEU Energy Fuel,,2.0,
HCVC,,1.0,
HD Hyundai,,7.0,
HD KSOE,,3.0,
HD Korea Shipbuilding & Marine Engineering,,4.0,
HDEC,,1.0,1.0
HEC,,1.0,
HEP,,1.0,
HG,,1.0,
HOBEG,,1.0,
HTGF,,1.0,
HZB,,1.0,
Habboush Group,,1.0,
Hainan Nuclear Energy Company,1.0,,
Hainan Nuclear Power Company,,5.0,
Halden Kjernekraft AS,2.0,2.0,
Halla EB Technology,,1.0,
"Hanford Tank Waste Operations & Closure, LLC",,1.0,
Hanki,,1.0,
Hanson,,4.0,1.0
Hanson UK,,3.0,
Hanwha E&C,,1.0,
Hanwon Central Research Institute,,1.0,
Hatch,1.0,9.0,
Hatch Ltd,,3.0,
Hathor Exploration,,1.0,
Haykakan Atomayin Elektrakayan,,1.0,
Hayward Tyler,,2.0,
Health & Safety Executive (HSE),,1.0,
Health Canada,,1.0,
Heathrow,,1.0,
Heidelberg Materials,,1.0,1.0
Helen,1.0,7.0,1.0
Helical Fusion,,3.0,
Helion,,4.0,
Helion Energy,,1.0,
Helmholtz Zentrum Berlin (HZB),,1.0,
Herbert Engineering Corp (HEC),,1.0,
Herrenknecht AG,,1.0,
Hexana,,1.0,
High Voltage Engineering Europa,,1.0,
High-Tech Gründerfonds,,2.0,
Himmash JSC,,1.0,
Hinkley,,,1.0
Hinkley point c,,1.0,
Hitachi,5.0,12.0,3.0
Hitachi Vantara,,,1.0
Hitachi Zosen,,1.0,
Hitachi Zosen Co Ltd,,1.0,
Hokkaido,,1.0,
Hokuriku Electric Power,,2.0,
Holtec,6.0,117.0,8.0
Holtec Britain,6.0,15.0,1.0
Holtec Britain Limited,,3.0,
Holtec Decommissioning International,,1.0,
Holtec Maintenance & Modification International (HMI),,1.0,
Honeywell,,1.0,
Hoosier Energy,,3.0,
Horizon,,1.0,
Horizon Nuclear Power,,3.0,1.0
Houlder,,1.0,
House of Ventures,,1.0,
Howden,,3.0,1.0
Hrvatska elektroprivreda (HEP),,1.0,
Hualong,,3.0,
Hualong One,,2.0,
Huaneng,,1.0,
Huaneng Company,,1.0,
Hugh Simpson Contractors,,1.0,
Huisman,,1.0,
Hungarian Atomic Energy Authority,4.0,2.0,1.0
Hunton Andrews Kurth LLP,,1.0,
Hyde Group,,1.0,
Hydro One,1.0,,
Hydromine Nuclear Energy,2.0,,
Hynamics,,2.0,
Hynion,,1.0,
Hyundai E&C,,9.0,
Hyundai Engineering,1.0,7.0,
Hyundai Engineering & Construction,2.0,14.0,
Hyundai Engineering & Construction Co Ltd (Hyundai E&C),,,1.0
Hyundai Heavy Industries,,1.0,
Hyundai Merchant Marine,,,1.0
Höfer & Bechtel,,1.0,
IAEA,,21.0,5.0
IAEA Department of Nuclear Safety and Security,,1.0,
IBA,,2.0,
IBNI,,1.0,
IBRAE RAS,,2.0,
IC Içtas,1.0,7.0,
IC Içtaş Inşaat Sanayi Ve Ticaret,,1.0,
IDOM,,8.0,
IDOM UK Nuclear Services,,1.0,
IEEFA,,,1.0
IESO,,1.0,
IGCAR,,1.0,
IHI Corp.,,1.0,
IHI Corporation,1.0,6.0,
IHS Markit,,,1.0
ILF,,1.0,
IMI Critical Engineering,,1.0,
INA,,1.0,
INB,,6.0,
INCOTEC,,1.0,
INET-CNNC,,1.0,
INP,,2.0,
INTERA Incorporated,,1.0,
INUKI,,1.0,
INVAP,,11.0,
IP3 Corporation,,2.0,
IPP,,1.0,
IRE,,6.0,
IRE ELiT,,1.0,
IRID,,1.0,
IRSN,,4.0,
ISAMZ,,1.0,
ISEC Monitoring Systems,,1.0,
ISIN,,1.0,
ISL,,1.0,
IST,,2.0,
ITER,,5.0,
ITER Organisation,,3.0,
ITM,,4.0,
ITM Isotope Technologies Munich,,5.0,
Iberdrola,,2.0,
Iceberg Research,,,1.0
Idaho Environmental Coalition (IEC),,1.0,
Idaho INL,,1.0,
Idaho National Laboratory,,19.0,
Idaho National Laboratory (INL),2.0,15.0,
Idaho State University,,1.0,
Ignalina NPP,,1.0,
Ignalina Nuclear Power Plant,,2.0,
Imabari Shipbuilding,,1.0,
Impact Innovations,,1.0,
Imperial College London,,1.0,1.0
Impuls Zeeland,,1.0,
Independent Nuclear Assurance (INA),,1.0,
Indonesia Power,,3.0,
Industria,,8.0,1.0
Industrial Development Agency JSC (IDA),,1.0,
Industrial Parts,,1.0,
Industrial and Commercial Bank of China Ltd,,1.0,
Industrias Metalúrgicas Pescarmona SA (IMPSA),,1.0,
Indústrias Nucleares do Brasil (INB),,3.0,
Ingérop,1.0,2.0,
InnoEnergy,,2.0,
Innovate UK Business Connect,,1.0,
Innovation Fund,,1.0,
Inria,,1.0,
Institut de Radioprotection et de Sûreté Nucléaire (IRSN),,1.0,
Institute for Energy Technology (IFE),,1.0,
Institute of Energy and Nuclear Research (IPEN),,1.0,
Institute of Nuclear and New Energy Technologies of Tsinghua University,,1.0,
"Institute of Plasma Physics, Chinese Academy of Sciences ASIPP",,1.0,
Instituto de Pesquisas Energéticas e Nucleares (Institute for Energy & Nuclear Research – IPEN),,1.0,
Intel,,2.0,
Interboring,,1.0,
Interim Storage Partners LLC,,1.0,
International Atomic Energy Agency,,6.0,
International Bank for Nuclear Infrastructure (IBNI),,1.0,
International Container Terminal Services (ICTSCI),,1.0,
International Nuclear Services,,1.0,
International Research Institute for Nuclear Decommissioning,,1.0,
Internexco GmbH,,1.0,
Interpath Advisory,,2.0,
Intuitive Machines,,1.0,
Invap SE,,,1.0
Invesco,,1.0,
Invest-NL,,1.0,
Iota Technology Ltd,,1.0,
Isogen,,5.0,
Ispe,,1.0,
Italian Space Agency,,1.0,
Itochu,,1.0,
Ivo,,1.0,2.0
Izhora,,1.0,
JAEA,,14.0,1.0
JAFCO Group,,1.0,
JAVYS,1.0,4.0,
JCB,,1.0,
JCO,,1.0,
JESS,,1.0,
JGC Corp.,,1.0,
JGC Corporation,1.0,5.0,
JGC Engineering,,1.0,
JGC Holdings,,1.0,
JGC Mirai Innovation Fund/General Partner Global Brain Corporation,,1.0,
JGC Mirai Innovation Fund/JGC Japan Corporation,,1.0,
JIC Venture Growth Investments,,2.0,
JIMMY,,,1.0
JNFL,,2.0,
JRC Ispra,,1.0,
JSC ASE JSC (Rosatom’s Engineering Division),1.0,,
JSC Atomstroyexport (ASE),1.0,1.0,
JSC Baltiysky Zavod,,1.0,
JSC Diacon,,1.0,
JSC Energy Special Installation (ESI),1.0,,
JSC GSPI,,2.0,
JSC ITC JET,1.0,,
JSC Luch,,1.0,
JSC MSU-90,,1.0,
JSC NFC Logistics Centre,,1.0,
JSC NPO TsNIITMASH,,2.0,
JSC Orgenergostroy Institute,,4.0,
JSC RaoProekt,,2.0,
JSC TSPT,,3.0,
JSC TsKBM,,1.0,
JSC Tyazhmash,2.0,2.0,
JSC VNIIAES,,1.0,
JSC VO Safety,,2.0,
JSC “Science and Innovations” (management company of ‘Rosatom’s R&D division),,1.0,
Jacobs,6.0,24.0,1.0
Jacobs Naarea,,1.0,
Jacobs Slovakia,,1.0,
Jacobs UK,1.0,1.0,
Jadrová Energetická Spolocnost Slovenska,,1.0,
James Fisher Nuclear,,1.0,
Janggeum Merchant Marine,,,1.0
Japan,,2.0,
Japan Atomic Energy Agency (JAEA),,11.0,
Japan Atomic Industrial Forum,,2.0,1.0
Japan Atomic Power Co,,2.0,
Japan Bank for International Cooperation,,1.0,
Japan Co-Invest IV Limited Partnership/Sumitomo Mitsui Trust Investment Co,,1.0,
Japan Nuclear Fuel,,1.0,
Japan Nuclear Fuel Conversion Company,,1.0,
Japan Nuclear Fuel Ltd (JNFL),,1.0,
Japan's National Institutes for Quantum Science & Technology (QST),,1.0,
Jiangsu Guoxin Group,1.0,6.0,
Jiangsu Nuclear Power Corporation,,5.0,
John Gunn & Sons,,1.0,
John Hopkins,,1.0,
Joint Design Institute - Atomenergoproekt JSC,,1.0,
Joint Research Centre,,3.0,
Joint Research Centre-European Commission,,2.0,
K-Sure,1.0,1.0,
K4 Ventures GK (Kansai Electric Power Group),,1.0,
KAERI,1.0,7.0,
KBR,,1.0,
KEPCO E&C,,11.0,
KEPCO NF,,1.0,
KERI,,1.0,
KF,,3.0,
KGHM,1.0,9.0,
KGHM Polska Miedz,4.0,12.0,
KIMM,,1.0,
KINGS,,1.0,
KKM,,2.0,
KMC JSC,,1.0,
KNA,,1.0,
KPMG,,1.0,1.0
KPPN (Courtesy KNPP),,1.0,
KSB Ltd,,1.0,
KSOE,,2.0,
KWU,,2.0,
KZNPP-NM,,1.0,
Kairos,2.0,27.0,
Kamilla,,1.0,
Kansai,,1.0,
Kansai Electric,,3.0,1.0
Kansai Electric Power Co,,17.0,
Karlsruhe Institute of Technology,,1.0,
Karpov Institute,,1.0,
Kazakhstan Nuclear Power Plants,,1.0,
Kazatomprom,,16.0,3.0
Kepco,3.0,18.0,1.0
Kepco Engineering & Construction,1.0,5.0,
Kepco International Nuclear Graduate School,,1.0,
Kepco KPS,,4.0,
Kepco Nuclear Fuel,,5.0,
Kepco Technology,,1.0,
Kepco fuel,,1.0,
KernD,,1.0,
Kernkraftwerk Gösgen-Däniken AG,,1.0,
Kernkraftwerk Leibstadt AG,,1.0,
Kerry,1.0,,
Kersten,,1.0,
Kexim,1.0,4.0,
Kia,,1.0,
Kier Group,,,1.0
Kind Atom Oy,,2.0,
Kinectrics Inc,1.0,13.0,
Kinetrics,,1.0,
Korad,,1.0,
Korea,,2.0,
Korea Atomic Energy,,,1.0
Korea Atomic Energy Environment Corporation,,1.0,
Korea Atomic Energy Research Institute,,7.0,
Korea Electric Power,,2.0,
Korea Electric Power Company (Kepco),2.0,8.0,1.0
Korea Electric Power Corporation,1.0,3.0,1.0
Korea Engineering Company,,1.0,
Korea Gas Corp (KOGAS),,1.0,
Korea Hydro & Nuclear Power,10.0,56.0,3.0
Korea Institute of Fusion Energy (KFE),,2.0,
Korea National Oil Corp (KNOC),,1.0,
Korea hydro and Nuclear Power (KHNP),5.0,55.0,3.0
Korean Domestic Agency,,1.0,
Korean Hydro and Nuclear Power Corporation (KHNP),,1.0,
Korean company,,1.0,
Kostrzyn-Słubicka Special Economic Zone SA (KSSSE),,2.0,
Koya Capital,,1.0,
Kozloduy NPP,,1.0,
Kozloduy NPP-Newbuild,1.0,2.0,
Kozloduy NPP-Novemostnosti,,1.0,
Kranostroene Engineering,,1.0,
Kudankulam NPP,,1.0,
Kumho E&C,,1.0,
Kuopio Energy,,3.0,
Kurchatov Institute,,1.0,
Kursk NPP,,2.0,
Kyoto Fusioneering,1.0,10.0,
Kyushu,,1.0,
Kyushu Electric Power Co,,4.0,1.0
Kärnfull Future AB,,1.0,
Kärnfull Next,1.0,11.0,
L&H Industrial,,2.0,
L3 MAPPS,,1.0,
LANL,,2.0,
LDR,,1.0,
LDR-50,,1.0,
LEP,,2.0,
LFR,1.0,,
LIS,,1.0,
LISCR,,2.0,
LLWR,,1.0,
LSE,1.0,,
LSEZ,,1.0,
Labour,,1.0,
Laing O'Rourke,5.0,1.0,
Langfields Ltd,,1.0,
Last Energy,,17.0,
Laurentis,1.0,2.0,
Laurentis Energy Partners,,10.0,
Lawrence Livermore National Laboratory,,2.0,
Leadcold,,5.0,
Leadcold Reactors,1.0,,
Legal & General,,1.0,
Leibniz-Institut für Angewandte Geophysik,,1.0,
Leibniz-Institut für Photonische Technologien,,1.0,
Leidos,,1.0,
Les Equipes du Made in France,,1.0,
Liaoning Hongyanhe Nuclear Power Company,,2.0,
Liaoning Nuclear Power Co Ltd,,3.0,
Liberty Energy,,2.0,
Libri Publishing Ltd.,,1.0,
Liebherr,,5.0,
Lifeline Ventures,,1.0,
Lightbridge,,8.0,3.0
Lightbridge Corporation,1.0,10.0,
Lilac Solutions,,1.0,
Limac Company,,1.0,
Lincoln Electric,,1.0,
Linde,,2.0,
Lloyd Resister,,3.0,
Lockheed Martin Corporation,,1.0,
Lockheed Martin Space,,4.0,
Longenecker & Associates,,1.0,
Longview,,1.0,
Longview Fusion Energy Systems,,1.0,
Los Alamos,,1.0,
Los Alamos National Labs,,6.0,
Los Alamos Technical Associates,,1.0,
Lotte Chemical Corp,,1.0,
Louisiana Energy Services,,1.0,1.0
Loviisa,,,1.0
Low Level Waste Repository,,1.0,
Low Level Waste Repository Limited (LLWR),,1.0,
Luch Scientific Production Association,,1.0,
Lucideon,,2.0,
Lumitron Technologies,,1.0,
M Vestt,,1.0,1.0
M5tec,,1.0,
MCC,,6.0,
MEAG Power,1.0,1.0,
MEPhI,,1.0,
MFBR,,1.0,
MHI,,10.0,
MIDAR,,1.0,
MIT,,4.0,1.0
MIT Energy Initiative,,1.0,
MNf,,1.0,
MOL DryBulk,,1.0,
MSATO,,1.0,
MSU No 5,,1.0,
MSU-90,,1.0,
MSZ,,1.0,
MTG-Dolphin,,1.0,
MUFG Bank Ltd,,1.0,
MVM Paks NPP,,1.0,
MVM Paksi Atomerömű Zrt,,1.0,
Machine Discovery,,1.0,
Macro Securities,1.0,,
Magnox,,8.0,
Magnox / Nuclear Restoration Services,,4.0,
Magnox Ltd,,6.0,
Maire Tecnimont,1.0,,
Malin Group,,1.0,
Mallinckrodt Chemical Co,,1.0,
Mallinckrodt Medical,,1.0,
Mammoet,,7.0,
Manchester Centre for Robotics and AI,,1.0,
Mangiarotti,,1.0,
Manila Electric Co (Meralco),,1.0,
Marine Engineering Bureau Malakhit,,1.0,
Martingale,,2.0,
Marubeni Utility Services,,1.0,
Marvel,,1.0,1.0
Marvel Fusion,,3.0,
Mashinostroitelny Zavod,,5.0,
Massachusetts Institute of Technology,,2.0,
Massachusetts Institute of Technology’s Plasma Science & Fusion Center (MIT PSFC),,1.0,
Materion Corporation,,4.0,
Matricial,,1.0,
Max Planck Foundation,,1.0,
Max Planck Institute for Plasma Physics (IPP),,3.0,
Mayak,,3.0,
Mayak Production Association,,1.0,
McMahon Communications,,1.0,
Meralco,,3.0,
Metatomic,,1.0,
Meti,,1.0,
Metroscope,,2.0,
Metrosol,,1.0,
Micromet AD,,1.0,
Microsoft,,10.0,1.0
Microsoft Canada,,1.0,
Mid-America Conversion Services,,1.0,
Middle Estates,,1.0,
Milan Vidmar Electrical Institute (EMV – Elektroinštitut Milan Vidmar),,1.0,
Millwright Regional Council of Ontario’s (MRCO),,1.0,
MinSredMash,,1.0,
Mineral Products Association,,1.0,
Mining & Chemical Combine (MCC - part of Rosatom),,1.0,
Mining & Chemical Combine (MCC),,1.0,
Ministry for the Development of the Russian Far East,,1.0,
"Ministry of Economy, Trade & Industry (METI)",,1.0,
Missouri University of Science & Technology,,1.0,
Mitsubishi,,2.0,
Mitsubishi Electric,,5.0,
Mitsubishi Electric Corporation,,3.0,
Mitsubishi FBR Systems (MFBR),,2.0,
Mitsubishi Heavy Industries (MHI),,19.0,
Mitsubishi Materials Corporation (MMC),,1.0,
Mitsubishi Nuclear Fuel Co (MNF),,2.0,
Mitsubishi UFJ Capital Co,,1.0,
Mitsui & Co,,1.0,
Mitta Oy,,1.0,
Mo Industripark,,2.0,
Mol Plus Co,,1.0,
Moltex,6.0,41.0,5.0
MonAtom,,1.0,
Monta Materials Handling,,1.0,
Monteiro,,1.0,
Morgan Sindall,,1.0,
Morson,,2.0,
Mostostal Kielce,,1.0,
Mostostal Krakow,,1.0,
Mostostal Puławy,,1.0,
Motie,,1.0,
Mott MacDonald,2.0,7.0,
Mubadala,,1.0,
Multiconsult Norge AS,,1.0,
Municipal Electric Authority of Georgia (MEAG),,10.0,1.0
Munro & Associates,,2.0,
Murphy Group,,1.0,
Mustang,,1.0,
N-Visage UK,,1.0,
NA Dollezhal Scientific Research & Design Institute of Power Engineering (Nikiet),,5.0,
NA-SA,,8.0,
NAC,,5.0,
NAC International,1.0,7.0,
NAC Kazatomprom JSC,,3.0,
NANO,,5.0,
"NANO Nuclear Energy, INC.",,3.0,
NAP,,2.0,
NAVSEA,,1.0,
NB Power,1.0,11.0,1.0
NCBJ,,2.0,
NCNR,,1.0,
NDA,,9.0,1.0
NDK (Turkish Nuclear Regulatory Agency),,1.0,
NECR,,1.0,
NEI,,2.0,
NEK,,1.0,
NEMO,,1.0,
NFS,,1.0,
NFT,,1.0,
NFT Inc,,1.0,
NG Bailey,,1.0,
NGSI,,1.0,
NII NPO ‘LUCH’,,1.0,
NIIAR,,3.0,
NIIEF,,3.0,
NIIEFA JSC,,1.0,
NIIPT,,1.0,
NIKIET,1.0,8.0,
NIKIET JSC,1.0,3.0,
NIS Ltd,,1.0,
NNB,,3.0,
NNB Generation Company (Sizewell C) Limited,,2.0,
"NNB Generation Company (Sizewell C) Limited (NNB), Office for Nuclear Regulation (ONR)",,1.0,
NNB Generation Company HPC Ltd,,7.0,
NNB Holding Company (SZC) Ltd,,2.0,
NNB Nuclear Generation (SZC) Limited,,1.0,
NNC,,2.0,
NND,,1.0,
NNEGC Energoatom,,1.0,
NNL,,9.0,
NNSA,,3.0,
NO RAO Zheleznogorsk branch,,1.0,
NPCIL,1.0,6.0,
NPM,,1.0,
NPP,1.0,,
NPP Doza,,1.0,
NPPA,1.0,3.0,
NPPD,,1.0,
NRA,,2.0,
NRA (Japan),,1.0,
NRC,,10.0,
NRCan,,1.0,
NRG,,18.0,
NRG I PALLAS,,7.0,
NSERC,,1.0,
NTP Radioisotopes,,1.0,
NTS,,4.0,
NUKEM,,5.0,
NUVIA,,3.0,
NWEC Alliance,,1.0,
NWMO,,4.0,1.0
NWS,,1.0,
NYSERDA,,1.0,
Naarea,2.0,11.0,1.0
Nación Bursátil,1.0,,
Nadia Calviño,1.0,,
Nagra,,5.0,
Nagra BEVA AG,,1.0,
Nagra gTL AG,,1.0,
Nantong CIMC Energy Equipment Co Ltd,,1.0,
Nantong Energy,,1.0,
Nasa,,8.0,1.0
NatWest,,1.0,
National Centre for Nuclear Research (NCBJ),,2.0,
"National Centre for Nuclear Research (NCBJ), Japanese Atomic Energy Agency (JAEA)",,1.0,
National Grid,,4.0,
National Ignition Facility,,1.0,
National Institute for Fusion Science (NIFS),,1.0,
National Nuclear Laboratory,9.0,15.0,1.0
National Nuclear Regulator (NNR),,1.0,
National Nuclear Security Administration,,2.0,
National Physical Laboratory,,1.0,
National Radiation Protection Institute,,1.0,
National Research Centre Kurchatov Institute,,2.0,
National Research Universal,,1.0,
National Research and Innovation Agency of Indonesia,,2.0,
National Technical Systems,1.0,,
National Thermal Power Corporation (NTPC),,1.0,
Natrium,,2.0,
Natsiunalnata Elektricheska Kompania,,1.0,
Natura Resources,,4.0,
Natural Resources Wales,1.0,1.0,
Naturgy,,1.0,
Naval Group,2.0,5.0,
Navarro,1.0,,
Navoiuranium,,1.0,
Nawah,,3.0,
Nawah Energy Company,,5.0,2.0
Nebraska Public Power District (NPPD),,2.0,
Necsa,,3.0,
Nel Hydrogen,,1.0,
Nest,,1.0,
Netcity,,1.0,
New Brunswick Power,1.0,3.0,
New Mexico Department of Transportation,,1.0,
New Mexico Environment,,1.0,
New Monark,,1.0,
NexGen Energy,,3.0,
Nexgen,,1.0,
NextChem Tech,2.0,1.0,
Ningde Second Nuclear Power Co Ltd,,1.0,
Niowave,,1.0,
Nippon Export and Investment Insurance,,1.0,
Nippon Nuclear Fuel Development Co Ltd.,,1.0,
Nissan,,1.0,
Nizhny Tagil Metal Structures Plant,,1.0,
Nordion,,2.0,
Nordion (Canada) Inc.,,1.0,
Norilsk Nickel,1.0,2.0,
Norrsken Launcher,,1.0,
Norsk Kjernekraft,3.0,23.0,1.0
NorthStar,,2.0,1.0
NorthStar Group Services,,3.0,
NorthStar Medical Radioisotopes,,2.0,
Northern Powerhouse Partnership,,1.0,
Northrop Grumman,,1.0,
Norwegian Nuclear Decommissioning (NND),,2.0,
Norwegian Water & Energy Directorate (NVE),,1.0,
Nova Power & Gas,1.0,11.0,
NovaWind,,1.0,
Novatome,,1.0,
Novatron Fusion,,2.0,
Novosibirsk Chemical Concentrates Plant,,3.0,
Novosibirsk Design & Technological Branch of the MA Lavrentiev Institute of Hydrodynamics at the Siberian Branch of the Russian Academy of Sciences,,1.0,
NuCycle,,1.0,
NuPEA,,1.0,
NuScale,36.0,228.0,34.0
NuScale Power Corporation,1.0,9.0,1.0
NuScale Power Module,,1.0,
Nuclear AMRC,1.0,1.0,1.0
Nuclear Advanced Manufacturing Research Centre (NAMRC),2.0,,1.0
Nuclear Alternative Project (NAP),,1.0,
Nuclear Decommissioning Authority (NDA),,13.0,
Nuclear Decommissioning Authority’s (NDA’s) Integrated Waste Management Programme,,1.0,
Nuclear Energy Institute,,9.0,1.0
Nuclear Fuel Services (NFS),,4.0,
Nuclear Fuel Services facility,,1.0,
Nuclear Industries of Brazil (Indústrias Nucleares do Brasil – INB),,1.0,
Nuclear Industry Association,2.0,7.0,2.0
Nuclear New Build,,1.0,
Nuclear New Build Generation (SZC) Ltd,,1.0,
Nuclear Power Corporation of India Ltd,,17.0,1.0
Nuclear Power Ghana,,6.0,
Nuclear Power Institute of China,,2.0,
Nuclear Power Operations Research Institute,,1.0,
Nuclear Power Plant Company Bangladesh Limited,,1.0,
Nuclear Power Production and Development Company of Iran,,1.0,
Nuclear Power Research & Design Institute of China,,3.0,
Nuclear Promise X (NPX),,1.0,
Nuclear Regulation Authority,,5.0,
Nuclear Regulatory Authority of Slovakia,1.0,,
Nuclear Research Group (NRG),,1.0,
Nuclear Site Licence,,1.0,
Nuclear Skills Strategy Group,,1.0,
Nuclear Technology Germany (KernD),,,1.0
Nuclear Transport Solutions,,7.0,
Nuclear Waste Management Organisation of Japan,,2.0,
Nuclear Waste Partnership,,1.0,
Nuclear Waste Services,,14.0,1.0
Nuclear Waste Services (NWS - part of NDA),,,1.0
Nuclearelectrica,4.0,36.0,
Nuclearelectrica Romania,,1.0,
Nucleation Capital,,1.0,
Nucleco,,1.0,
Nuclenor,,2.0,
Nucleoelectrica,,1.0,1.0
Nucleoelectrica Argentina,1.0,13.0,
Nuclep,,1.0,
Nucor,,2.0,
Nuklearna Elektrarna Krško,,1.0,
Numech,,1.0,
Nuueen,,1.0,
Nuward,2.0,12.0,
OBR Construction,,1.0,
OC Robotics,,1.0,
OCNI,,1.0,
OECD-Nuclear Energy Agency,,3.0,
OEM,,,1.0
OKBM,,1.0,
OKBM Africantov,,10.0,
OKG,1.0,3.0,
OKLO (VOYGR packs),,1.0,
OMERS,,2.0,1.0
OMZ,,1.0,
OMZ Public Joint-Stock Company,,1.0,
ONDRAF,,1.0,
ONDRAF/NIRAS,,1.0,1.0
ONR,,8.0,
OREM,,2.0,
ORNL,,17.0,
OSCE,,1.0,
OSGE,1.0,9.0,
OSI,,1.0,
Oak Ridge Technologies,,1.0,
Oakridge,,2.0,
Office for Nuclear Regulation,2.0,7.0,1.0
Office of Nuclear Energy,,2.0,1.0
Ofgem,,1.0,
Oglethorpe Power Corp,2.0,11.0,2.0
Oklo,8.0,26.0,2.0
Oklo Inc,,1.0,
Omaha Public Power District,,1.0,
Omexom,,1.0,
Omexom and Taylor Woodrow JV (OTW),,1.0,
Omniflex,,1.0,
OneAIM,,1.0,
Onet Technologies,1.0,5.0,
Onomichi Dockyard,,1.0,
Ontario Power Generation,22.0,91.0,6.0
Ontario Tech (OTU),,1.0,
Ontario’s Independent Electricity System Operator (IESO),,1.0,
Optima,,1.0,
Orano,3.0,65.0,1.0
Orano Decommissioning Services,,1.0,
Orano Group,,1.0,
Orano Med,,5.0,
Orano NCS,,3.0,
Orano Projets,,1.0,
Orano TN Americas,,1.0,
Orano USA,,5.0,
Organisation of Canadian Nuclear Industries (OCNI),,1.0,
Orgenergostroy,,2.0,
Orlen,,4.0,
Orlen Sythnos Green Energy,11.0,27.0,2.0
Otium Capital,,1.0,
Outokumpu,2.0,,2.0
Oxford Sigma,,1.0,
Oxford Space Systems Ltd,,1.0,
PA Consulting,,1.0,
PAA,,1.0,
PAKS,,1.0,2.0
PAKSI ATOM,,1.0,
PALLAS Reactor Preparation Foundation (PALLAS),,1.0,
PATEC,,1.0,
PCL Nuclear Management Inc,,2.0,
PDENH,,1.0,
PEJ,1.0,5.0,1.0
PG&E,,1.0,
PGE,,7.0,1.0
PGE EJ1,,,1.0
PGE PAK Energia Nuclear,,1.0,
PGE Pak Energia Jadrowa,,2.0,
PK Valve,,1.0,
PKN Orlen,8.0,10.0,1.0
PLEF,,1.0,
PLN,,3.0,
PNPI,,1.0,
PNTL,,1.0,
PODEMCRANE AD,,1.0,
PSC,,1.0,
PSEG,,1.0,
PSEG Nuclear,,2.0,
PT Batan Teknologi,,1.0,
PT Industry Nuklir Indonesia (INUKI),,1.0,
PT PAL Indonesia,,2.0,
PT PLN,,1.0,
PT PLN (Persero),,1.0,
PT Pertamina,,2.0,
PT Pertamina Power Indonesia,,1.0,
PT ThorCon Power Indonesia,,1.0,
PTT,,2.0,
PTT Group,,2.0,
PWRs,,1.0,
PZUW – Polski Zakład Ubezpieczeń Wzajemnych,,1.0,
PacifiCorp,1.0,9.0,1.0
Pacific Gas & Electric,,,1.0
Pacific Gas and Electric Company (PG&E),,6.0,
Pacific Northwest Division,,1.0,
Pacific Northwest National Laboratory (PNNL),,2.0,
Pacific Nuclear Transport Ltd.,,2.0,
Pajarito Scientific Corporation (PSC),,1.0,
Pakistan Atomic Energy Commission (PAEC),,1.0,
Paks II Ltd,,2.0,
Paks NPP,,2.0,1.0
Paksi atomerőmű – Paks II Ltd,,1.0,
Pallas,,3.0,
Pallas-Reactor,,1.0,
PanTera,,2.0,
Paragon,,2.0,
Paragon Energy Solutions,1.0,4.0,1.0
Parkwalk Advisors,,1.0,
Peninsula Energy,,1.0,
Peregrine Turbine Technologies (PTT),,2.0,
Perez Companc Group,,1.0,
Pertamina New & Renewable Energy,,1.0,
Petrozavodskmash,,2.0,
Petrozavodskmash plant of AEM-Technologies,,2.0,
Philippines largest power utility,,1.0,
Phoenix Group,,1.0,
Pinsent Masons,,1.0,
Planetary Science Institute,,2.0,
Plasma Research Centre,,1.0,
Platom Oy,,1.0,
Plug Power Siemens,,1.0,
Plural,,1.0,
Plural Platform,,1.0,
Pohjolan Voima,,1.0,
Poland's OSGE,1.0,,
Polimex,,1.0,
Polimex Mostostal Siedlce,,2.0,
Polish,,,1.0
Polish Construction Association,,1.0,
Polska Grupa Energetyczna,1.0,1.0,
Polskie Elektrownie Jadrowe (PEJ),4.0,11.0,1.0
Pompes Rütschi SAS,2.0,1.0,
Portland Holdings Investco,,1.0,
Portsmouth Water,,1.0,
Posco E&C,,3.0,
Positron Ventures,,1.0,
Posiva,1.0,8.0,1.0
Posiva Oy,,5.0,
Posiva Solutions Oy,,2.0,
