company,SUPPORT,NEI,CONTRADICT
Turner & Townsend,,1.0,
U-Battery Developments,,1.0,
UAMPS LLC,,1.0,
UJV Rez,,1.0,
UK,,2.0,
UK Atomic Energy Authority,,1.0,
UK Atomic Energy Authority (UKAEA),,1.0,
UK Atomics,,2.0,
UKAEA,,2.0,
UKRI,,1.0,
ULC-Energy,2.0,6.0,1.0
US,,2.0,
US Defense Department,,1.0,
US Department of Commerce,,1.0,
US Department of Energy,,12.0,1.0
US EXIM,,1.0,
US Exim Bank,,3.0,
US Export-Import (Exim) Bank,,4.0,
US International Development Finance Corporation,,2.0,
US NRC,,2.0,
US Nuclear Industry Council,,,1.0
US Nuclear Regulatory Commission,,7.0,
US Oklo,1.0,,
US Reactor Forging Consortium,,1.0,
US Steel,,1.0,
US Steel Košice,2.0,2.0,
US Uranium Energy,,1.0,
US-based Global Nuclear Fuel-Americas,1.0,1.0,
USA,,1.0,
USA Department of State,,1.0,
USN,,1.0,
USNC,5.0,35.0,
USTDA,,7.0,
Uamps,1.0,3.0,1.0
Unimot,,1.0,
Union Carbide,,1.0,
Uniper,,1.0,1.0
United Shipbuilding Corporation,,1.0,
United States,,3.0,
United States Trade and Development Agency,,2.0,
United constructions,,1.0,
University of Bristol,,1.0,
University of Manchester,,1.0,
University of Strathclyde,,1.0,
Uranium Energy Corp,,1.0,
Urenco,,23.0,1.0
Urenco Limited,,1.0,
Urenco UK,1.0,2.0,
Urenco USA,1.0,1.0,
Utah Associated Municipal Power Systems (Uamps),,8.0,
VTT,,4.0,1.0
VTT Technical Research Centre of Finland,1.0,1.0,
VUJE,1.0,5.0,
Vattenfall,4.0,20.0,3.0
Viaro Energy,1.0,,
Vietnam Atomic Energy Institute (VinAtom),,1.0,
Vistra,,1.0,
Vital Energi,,1.0,
Vogtle,,1.0,1.0
WANO,,1.0,
WEC,,,1.0
WESEE,,1.0,
WSP,,2.0,
Wall St,,1.0,
Waste Control Specialists,,1.0,
Welsh Government,,1.0,
Western Gateway,,1.0,
Westinghouse,22.0,166.0,15.0
Westinghouse (BWRX 300),,1.0,
"Westinghouse (parent company of Westinghouse Electric Company, which developed the AP-1000)",,1.0,
Westinghouse Electric,1.0,12.0,
Westinghouse Nuclear,,1.0,
Westinghouse Springfields,,2.0,
Wolverine,,1.0,
Wolverine Power Cooperative,,2.0,
Womble Bond Dickson,,1.0,
Women in Nuclear UK,,1.0,
Wood,,1.0,
Wood Mackenzie,,2.0,
Wooyang Merchant Marine,,,1.0
World Association of Nuclear Operators (WANO),,1.0,
World Nuclear Association,,2.0,1.0
X-Energy,21.0,86.0,6.0
X-Energy Canada,1.0,3.0,
X-energy (Xe-100),,1.0,
X-energy Canada,,1.0,
X-energy UK Holdings,,2.0,
"X-energy, LLC",,1.0,
Yellowcake,,1.0,
Yes VC,,1.0,
YouGov,,,1.0
ZEPAK,,2.0,
ZKS Ferrum,,1.0,
Ze Pak,1.0,6.0,1.0
ZiO-Podolsk JSC,,1.0,
e-Vinci,,1.0,
eVinci Technologies,,1.0,
newcleo,23.0,17.0,1.0
nucleareurope,,6.0,1.0
the Nuclear Advanced Manufacturing Research Centre,2.0,,
Électricité de France (EDF),,2.0,
Ørsted,,1.0,
Østfold Energi,2.0,3.0,
ČEZ Group,,2.0,
Škoda,,1.0,
Škoda JS,,1.0,
Škoda Praha,,2.0,1.0
