claim,company,chunk,label
"The regulators will expand their cooperation on activities associated with advanced and small modular reactor technologies, sharing best practices and experience.",,"Canadian and Polish nuclear regulators have extended their cooperation under a newly signed memorandum on joint activities in the field of small modular reactors (SMRs), particularly the BWRX-300. Velshi (left) and Głowacki signed the agreement in Abu Dhabi (Image: PAA) was signed by Andrzej Głowacki, acting president of Poland's National Atomic Energy Agency ( Panstwowa Agencja Atomistyki, and Rumina Velshi, chair of the Canadian Nuclear Safety Commission (CNSC), on the sidelines of the International Atomic Energy Agency conference on Effective Nuclear and Radiation Regulatory Systems The pact will see the regulators expand their cooperation on activities associated with advanced and small modular reactor technologies, sharing best practices and experience. The agreement specifies that this cooperation ""may expand to facilitate a joint technical review of advanced and small modular reactor designs, including the BWRX-300"". Such a joint technical review may, amongst other things, include cooperation in: Development of shared technical review approaches for advanced and small modular reactor technologies that facilitate resolution of common technical questions to enable regulatory reviews that address each participant's national regulations; Collaboration on pre-application activities to ensure mutual preparedness to efficiently review advanced and small modular reactor designs, including sharing independent regulatory review results; Collaboration on research, training, and the development of regulatory approaches to address unique and novel technical considerations for ensuring the safety of advanced and small modular reactor technologies. ""Today we took the first step enabling joint activities with CNSC in the field of small modular reactors,"" Głowacki said. ""The experience gained in the field of regulatory review will contribute to the optimisation of the licensing process and the harmonisation of the regulatory approach. This, in turn, will enable more efficient implementation of these technologies in Poland and in the world.""",SUPPORT
Nebraska Public Power District (NPPD) has started identifying sites that have the potential to host small modular reactors (SMR) after receiving state-allocated funding for the study. ,NPPD,"Nebraska Public Power District (NPPD) - operator of the Cooper nuclear power plant - has begun the process to identify sites that have the potential to host small modular reactors (SMR) after receiving state-allocated funding for the study. The State of Nebraska allocated USD1 million of funding under the American Rescue Plan Act - a wide-ranging economic stimulus package signed into law in 2021 to support the USA's recovery from the effects of the COVID pandemic and the ongoing recession - to complete a siting study for SMRs. Nuclear Plant Siting Feasibility Study Program were required to own or operate a nuclear power plant in Nebraska. NPPD said its application for funding was approved by the Nebraska Department of Economic Development on January 6: Cooper is the state's only currently operating nuclear power plant. The first part of the two-phase study will involve a state-wide assessment to determine 15 ""best locations"" for siting SMRs based on geographic data and preliminary licensing criteria. This is expected to be completed this Spring. An in-depth evaluation including detailed field environmental and constructability evaluations based on US Nuclear Regulatory Commission plant licensing criteria will then aim to reduce the 15 sites to four. It is estimated that this second phase of the study will take about a year to complete. Engineering firm Burns & McDonnell will be assisting NPPD with the study, it said. NPPD Generation Research Senior Program Manager Roman Estrada said the company is ""very excited"" to be part of the SMR siting process. ""This study will not result in the immediate construction of an advanced small modular reactor, but it will give us a great look at potential areas in the state where this technology could be sited,"" he said.",SUPPORT
"Construction of six Westinghouse AP1000 reactors is due to begin in 2026, with commissioning of the first unit targeted for 2033.",Westinghouse,"of Polish AP1000 deployment highlighted The construction of six Westinghouse AP1000 reactors would contribute more than PLN118.3 billion (USD30.2 billion) in GDP for Poland, while their subsequent operation would generate PLN38 billion in GDP annually, an independent study has found. Westinghouse CEO Patrick Fragman and US Ambasador Mark Brzezinski discussed the new report at a press meeting in Poland (Image: US Embassy in Warsaw) Poland has set out a pathway to develop new nuclear power, with the aim of building six to nine GWe of nuclear capacity, using pressurised water reactor technology. According to latest Polish Nuclear Power Programme timeline, published in 2020, construction is due to begin in 2026, with commissioning of the first unit targeted for 2033. In November 2022, the then Polish government selected the Westinghouse AP1000 reactor technology for the country's first nuclear power plant, at the Lubiatowo-Kopalino site in the Choczewo municipality in Pomerania in northern Poland. An agreement setting a plan for the delivery of the three-unit plant was signed in May last year by Westinghouse, Bechtel and Polskie Elektrownie Jądrowe (PEJ). The country's Ministry of Climate and Environment in July issued a decision-in-principle for PEJ to construct the plant. The aim is for Poland's first AP1000 reactor to enter commercial operation in 2033. PricewaterhouseCoopers LLC (PwC) has produced a report - titled The Economic Impact of a Westinghouse AP1000 Reactor Project in Poland - for Westinghouse and its owners, Brookfield and Cameco.",SUPPORT
Argentina has a long-standing commitment to nuclear safety.,,"The main challenges identified for ARN ""is to revise or develop several regulatory regulations and guides, which can be a lengthy process"". Other recommendations include establishing a fiduciary fund for decommissioning activities, radioactive waste and used fuel management; establishment of a process to review and revise standards and guides to keep them up to date; further strengthening of the formalisation of the national plan for response against nuclear and radiological emergencies. Javier Zarzuela, technical director at Spain's Nuclear Safety Council (CSN) and the IRRS team leader, said: ""The review has permitted the team to develop a broad understanding of the governmental, legal and regulatory framework, resulting in recommendations and suggestions that should benefit nuclear and radiation safety in Argentina. By inviting this international full scope peer review, Argentina shows openness, transparency and commitment to continuous improvement."" Agustín Arbor González, President of the Board of Directors of ARN, said: ""Argentina has a long-standing commitment to nuclear safety. Having completed a self-assessment prior to this mission, we are satisfied that, overall, our regulatory system, which is predominantly based on performance criteria, complies with IAEA safety standards. There are some topics that need further work, and we are committed to making improvements."" The final mission report will be provided to the government in about three months. Researched and written by World Nuclear News ",SUPPORT
The double-layered containment building of Hualong One reactors plays a key role in the containment of radioactive substances.,China National Nuclear Corporation (CNNC),"The inner dome of the containment building has been installed at unit 3 of the Changjiang nuclear power plant in China's Hainan province, China National Nuclear Corporation  (CNNC) announced. Units 3 and 4 of the plant - both featuring Hualong One reactors - are scheduled to be fully operational in early 2027. The steel inner dome in place at Changjiang 3 (Image: China Huaneng) Just days after the outer dome was installed at Zhangzhou unit 1 - also a Hualong One unit - CNNC installed the inner dome at Changjiang 3. The steel dome - with a diameter of 46.8 metres, a height of 23.4 metres and a total lifting weight of 518 tonnes - was hoisted into place on top of the containment building walls, at a height of about 45 metres, using a 3200-tonne crawler crane. The inner dome at its on-site assembly point (Image: CNNC) The company said the successful hoisting of Changjiang 3's inner dome on 21 February marked ""an important milestone node in the construction of nuclear power projects, marking the transition of unit 3 of the Hainan Changjiang Nuclear Power Plant from the peak of civil construction to the installation stage"". The main function of the double-layered containment building is to ensure the integrity and leak tightness of the reactor building, and it plays a key role in the containment of radioactive substances. China Huaneng, which holds a 51% share in the project, noted that the assembly of Changjiang 3's inner dome adopts work platforms and customised hanging cage measures, breaking the traditional mode of constructing scaffolding platforms, ""creating a precedent in the industry for 'zero scaffolding' to complete the assembly of steel-lined domes and the construction of installation items"".",SUPPORT
Nuclearelectrica signed a teaming agreement to deploy a 462 MWe NuScale VOYGR-6 power plant in Romania by the end of the decade.,Nuclearelectrica,"The first E2 Centre opened at Oregon State University in November 2020, followed by a second at the University of Idaho at the Center for Advanced Energy Studies in August 2021. The third centre is located at Texas A&M's Engineering Experiment Station and opened in November 2021. The fourth one opened in October 2022 in Pocatello, Idaho, in collaboration with Idaho State University. In 2021, NuScale Power and state-owned nuclear power corporation Nuclearelectrica signed a teaming agreement to deploy a 462 MWe NuScale VOYGR-6 power plant in Romania by the end of the decade. In June last year, the two companies signed a memorandum of understanding to begin conducting engineering studies, technical reviews, and licensing and permitting activities for the project. A front-end engineering and design contract was signed in late December by NuScale and RoPower - a joint venture of Nova Power & Gas and Nuclearelectrica - for the site of a former coal plant at Doicești, Romania, the preferred location for the deployment of the VOYGR-6 power plant. Key government officials attended the opening of the E2 Centre on 15 May, including US Ambassador to Romania Kathleen Kavalec, Romanian Prime Minister Nicolae Ciuca and Romanian Minister of Energy Virgil Popescu. ""Nuclearelectrica has strong assets, which qualifies us to be the first country after the US to deploy a NuScale SMR,"" said Nuclearelectrica CEO Cosmin Ghita. ""The first E2 Centre launched in Romania is only the beginning of this new era in technology, human resources, safe, affordable clean energy, with multiple benefits for communities and industries, to which we are happy to contribute.""",SUPPORT
Rolls-Royce SMR commits to deploying an SMR plant capable of generating enough carbon-free electricity to power one million homes for over 60 years in Ukraine.,Rolls-Royce SMR,"Britain's Rolls-Royce SMR has signed memorandums of understanding (MoUs) to explore the deployment of its small modular reactor (SMR) in Finland and Sweden, as well as to help post-war recovery in Ukraine. Energoatom President Petro Kotin and Rolls-Royce SMR's Sophie Macfarlane-Smith signing the MoU (Image: Energoatom) Under an MoU signed with Ukraine's state-owned nuclear energy utility Energoatom, the companies will work together to explore future opportunities to deploy Rolls-Royce SMR reactors in Ukraine as it begins to rebuild. Rolls-Royce SMR commits to supporting Ukraine's recovery by deploying an SMR plant ""capable of generating enough carbon-free electricity to power one million homes for over 60 years"". The MoU was signed on 20 March by Energoatom President Petro Kotin and Sophie Macfarlane-Smith, head of customer engagement at Rolls-Royce SMR. ""Cooperation between Energoatom and Rolls-Royce SMR has reached a new level,"" Kotin said. ""Today we signed an agreement that will allow Ukraine not only to start a high-quality post-war reconstruction of the energy infrastructure, but also to become one of the first countries in the world to attract promising technologies of small modular reactors for this purpose."" Rolls-Royce SMR CEO Tom Samson added: ""Thanks to our own British nuclear technologies, we can potentially help the people of Ukraine to quickly rebuild and restore energy security and independence.""",SUPPORT
X-energy's advanced nuclear technology offers a powerful solution to reducing emissions while increasing reliable baseload generation capacity and supporting the region's key economic drivers.,X-energy,"Alberta - which last year established a goal of reaching net-zero carbon emissions by 2050 - joined the provinces of New Brunswick, Ontario and Saskatchewan as a signatory to a memorandum of understanding to collaborate on small modular reactor (SMR) development in 2021 and has more recently signed memorandums of understanding with several SMR developers including ARC Clean Technology, X-energy and the Korea Atomic Energy Research Institute. The Government of Alberta is reconsidering the possibility of having conventional nuclear power plants, Affordability and Utilities Minister Nathan Neudorf told reporters at the provincial legislature on 28 March. His comment was the first public suggestion that the government is contemplating conventional nuclear power plants like those in Ontario and New Brunswick, according to ""This partnership with Emissions Reduction Alberta marks a significant step forward for clean energy technologies in the province,"" said Benjamin Reinke, X-energy's vice president for global business development. ""We are pleased to work with TransAlta, a leader in power production, innovation, and sustainability, to evaluate how X-energy can support the province's climate goals. ""Alberta's tradition of energy innovation combined with our advanced nuclear technology offers a powerful solution to reducing emissions while increasing reliable baseload generation capacity and supporting the region's key economic drivers."" Blain van Melle, Executive Vice President, Commercial and Customer Relations at TransAlta, added: ""TransAlta is excited to work with Emissions Reduction Alberta and our project partners to explore how X-energy's innovative small modular reactor technology can potentially augment TransAlta's existing sites and assets to deliver clean, reliable heat and power to our customers at competitive rates and without emissions from fossil fuels.""",SUPPORT
"The development and deployment of small modular reactors (SMRs) have been found to be impractical and inefficient for remote areas, and Kazakhstan's Ministry of Energy has decided to focus on renewable energy sources instead.",,"in Brussels last month and the multinational ministerial declaration signed at COP28 last year which recognised the need for a tripling of nuclear energy capacity by 2050 - he said nuclear is becoming a key tool for achieving net-zero ambitions. ""Kazakhstan is a uranium producing and exporting country, so we are obliged to use this advantage to the maximum,"" he said. Yernat Berdigulov is managing director of Strategy and Asset Management at Samruk-Kazyna, Kazakhstan's sovereign wealth fund which is a major shareholder in national atomic company NAC Kazatomprom JSC. As well as recognising the need for nuclear as a low-carbon baseload energy source for Kazakhstan, he said, the fund is also ""following the advancement"" of small modular reactor (SMR) technology which he said offers a ""versatile solution"" especially for remote areas of the country. ""It's very obvious that uranium fuel is indispensable for our net-zero carbon objectives,"" he said. Yessimkhanov makes his opening remarks to World Nuclear Spotlight Kazakhstan (Image: World Nuclear Association) Milestones to decarbonisation Kazakhstan is a country rich in resources including coal - which is relied on by many regions - but is working hard to decarbonise, and is making rapid progress with the development of renewable energy as well as looking to nuclear, Gulmira Mursalova, deputy director of the Department of Atomic Energy and Industry at Kazakhstan's Ministry of Energy, said. The country is following the IAEA's Milestones approach - a progressive, phased method to support countries which are considering or planning their first nuclear power plant in establishing the infrastructure for a nuclear power programme.",CONTRADICT
X-energy's Xe-100 reactor technology is not considered mature enough by the UK government to be eligible for funding from the Future Nuclear Enabling Fund.,,"X-energy and Cavendish Nuclear have been granted GBP3.34 million (USD4.23 million) in funding from the UK government to develop plans for the deployment of X-energy's Xe-100 high temperature gas-cooled reactor in the country. An artist's impression of a four-unit Xe-100 power plant (Image: X-energy) X-Energy UK Holdings - a wholly owned subsidiary of the USA's X-Energy Reactor Company - and UK firm Cavendish applied to the UK's Future Nuclear Enabling Fund (FNEF) to support a Generic Design Assessment of the Xe-100 small modular reactor (SMR) and also supply chain development for the first proposed project. The GBP120 million fund was launched by the UK government in May 2022. It is intended for potential nuclear projects with mature technologies that could be in a position to take a Final Investment Decision within the next parliament (ie by 2030). The fund aims to help industry reduce project risks so they are better positioned for future investment decisions. The Department for Energy Security & Net Zero has now said the application ""exceeded the quality thresholds across all four assessment criteria and successfully completed the department's due diligence and governance approvals processes"". It noted the funding is the first the UK government has awarded to an advanced modular reactor technology for post-R&D commercialisation and business development activities. ""We are backing innovation in nuclear - from building large-scale plants better to encouraging new advanced technologies - to achieve our ambition for a quarter of our electricity to come from nuclear power by 2050,"" said Minister for Nuclear and Renewables Andrew Bowie. ""This funding supports the next step in the development of advanced modular reactors and shows our commitment to keeping the UK at the forefront of nuclear technology.""",CONTRADICT
"The Nuclear Power Corporation of India Ltd has abandoned plans to develop small modular reactor technology, and instead will focus on large conventional reactors.",Nuclear Power Corporation of India Ltd.,"According to the Press Trust of India, Singh said on 9 April that nuclear is ""likely"" to account for nearly 9% of India's electricity by 2047, thanks to the approval by Prime Minister Narendra Modi of the construction of reactors in fleet mode. He also credited Modi with a decision to allow nuclear installations to be developed under joint ventures with public sector undertakings (PSUs). India's Atomic Energy Act was amended in 2015 to enable the Nuclear Power Corporation of India Ltd to form joint venture companies with other Indian PSUs to help the state-owned company to secure funding for new projects. Singh has previously called for India's private sector companies and start-ups to take part in the development of small modular reactor technology. The minister's latest remarks were made following a review meeting with senior scientists from the Department of Atomic Energy's Bhabha Atomic Research Centre. Researched and written by World Nuclear News",CONTRADICT
"The BWRX-300 construction process in Canada will not be completed by 2028, but rather in a year later.",,"""I'm not going to be able to just copy and paste and replace ‘CNSC’ with ‘NRC’. They'll clearly have some different work, and that's OK. It's really when you get to the heart of how a regulation is interpreted and then the follow on …  that is what drives the differences. So we’d love to get there, but this harmonisation effort is a good step forward.” What should we look out for in the year ahead? “2023 is going to be a great and busy year. For the BWRX-300 in Canada we expect to complete our vendor design review process and then continue through the licensing and engineering process with our customer OPG. That's for the BWRX-300 at the Darlington site, and that’s where we anticipate construction could be completed as soon as 2028. So great to see a launch of this technology. In the US, we're working with our customer TVA on the licensing of the first commercial SMR in the United States, and we're working with them to complete the construction permit application and move forward. So again, really excited for North America and a lot of synergies between those projects as well, not just on the project, but of course the NRC and CNSC collaboration. In the UK we've submitted the generic design assessment application for the BWRX-300 and we're starting to work on the GDA, so a lot of activities and again a lot of synergies between the regulators there. In Poland, Orlen Synthos Green Energy has started the pre-licensing process for the BWRX-300 there - they plan on deploying a fleet of the 300s with the first unit by the end of this decade. So a lot of activity again, one more regulator in the PAA there, that is a great opportunity to leverage a lot of the IAEA NHSI and the",CONTRADICT
"Operating nuclear power plants is too expensive and resource-intensive for it to play a significant role in rapid decarbonisation, thus making alternative energy sources more viable.",,"Mitchell, who stresses that WANO is a safety-focused organisation that does not seek to advocate the case for nuclear, says that his personal view is that ""this is a very exciting time ... you know there is no credible way to deal with the climate change issue, the rapid decarbonisation, without nuclear. I’m not saying that nuclear is the only way to achieve this, there needs to be a mix"". ""Nuclear has a key and essential role in achieving this. We have to maintain this option - maintaining this option means we have to operate these plants safely and reliably, maintain public confidence in the technology and we need to be ready for potentially a whole new set of players who may not have that 45 years of experience that OPG has or others, who want to become part of this and be successful because I do believe that we are all in this together."" Chigusa, who took over as CEO at the start of the year, has more than 40 years' experience in the nuclear industry, and will certainly have plenty to do in his new role - as well as the expanding membership numbers, there is a new Shanghai centre to add to WANO's existing regional centres in Paris, Moscow, Atlanta and Tokyo. He comes to the post after eight years as director general of WANO's Tokyo centre, where he played a key role in piloting the initiative which sees a lot more contact and on-going support for members on top of the peer-review missions that have been traditional. Chigusa says that as WANO CEO he can continue that work and take his fieldwork ""into the global organisation"" and bring it into the ""implementation stage without losing any momentum"". He says WANO must be ""visionary leaders"" in its key areas, wanting to ""embed"" its nuclear safety philosophy into newcomers.",CONTRADICT
The Xe-100 will not be operational within seven years.,X-energy,"The Xe-100 - a high-temperature gas reactor capable of a thermal output of 200 MW or (80 MW electrical) which uses fuel made from robust TRISO fuel particles - is one of two designs selected by the DOE in 2020 to receive USD80 million each of initial cost-shared funding to build an advanced reactor demonstration plant that can be operational within seven years. X-energy announced in March 2023 that the first deployment of the design will be at one of materials science company Dow's sites on the US Gulf Coast. Seadrift - where Dow manufactures more than 4,000,000 pounds (1816 tonnes) of materials per year for use in applications such as food packaging, footwear, wire and cable insulation, solar cell membranes and packaging for pharmaceutical products - was selected to host the first Xe-100 in May. X-energy CEO Clay Sell said the PSC ""will set the stage for the first and subsequent deployments of our innovative advanced small modular reactor technology"". X-energy will use the PSC for the final development of its training programme and reactor operating procedures before it accepts its first trainees. The centre will also be instrumental in validating and enhancing Human Factors Engineering and integrated system testing prior to deployment, the company said. As plants become operational, the facility will use real performance and operating data to enhance training and professional development. X-energy plans to set up further regional centres to support an expanding reactor fleet, becoming hubs for the company's operations, maintenance, and training services business. ""We hope this is the catalyst for advancing the way nuclear operators are going to be trained in the future. From analogue to digital displays, and from historical to real-time data, this is a highly engaging system of tools to propel US nuclear forward,"" Sell said. Researched and written by World Nuclear News",CONTRADICT
"The Xe-100 plant will not start operations by 2028, and no TRISO-X subsidiary has been established.",,"The US Department of Energy (DOE) awarded USD40 million in funds for the six-year project to complete the basic design of the high-temperature gas-cooled reactor, which it says is instrumental in paving a path towards X-energy's multi-billion-dollar demonstration project and the USA's first commercial facility to produce high-assay low-enriched uranium (HALEU)-based fuel for next-generation reactors. A rendering of an Xe-100 plant (Image: X-energy) Maryland-based X-energy received an Advanced Reactor Concepts (ARC) award in 2015 to further develop its Xe-100 advanced reactor design and TRISO-X particle fuel. The project resulted in completion of the basic design of the reactor and fabrication of its first TRISO (tristructural isotropic) fuel pebbles using natural uranium at a pilot-scale fuel facility at Oak Ridge National Laboratory, which was commissioned as part of the project. X-energy is now working to license the reactor design with the US Nuclear Regulatory Commission (NRC). It is also working to license and operate a HALEU fuel fabrication facility, with funding under the DOE's Advanced Reactor Demonstration Program (ARDP). The company's TRISO-X subsidiary in April selected a site for a fuel fabrication plant at the Horizon Center Industrial Park in Oak Ridge, with commissioning and start-up envisaged as soon as 2025. It plans to submit a reactor construction permit application to the NRC by the end of 2023, with the first reactor at a four-unit Xe-100 plant planned for construction at a site in Washington state to be operational by 2028.",CONTRADICT
"The USA and Japan's joint effort will not provide Ghana with a significant reduction in energy costs, and the country may struggle to establish itself as an advanced nuclear technology hub.",,"The USA, Japan and Ghana have announced a strategic collaboration to support the deployment of small modular reactors (SMRs) in the West African nation. Through the partnership, Ghana could become an advanced nuclear technology hub. Cape Coast, Ghana (Image: namilio / Pixabay) On 27 October, US Under Secretary of State for Arms Control and International Security Bonnie Jenkins and Japan's Minister of Economy, Trade and Industry Ota Fusae announced deeper cooperation to support the deployment of SMR and other advanced reactor technologies in partner countries. The announcement - Winning an Edge Through Cooperation in Advanced Nuclear (WECAN) - reaffirms commitments by Japan and the USA to energy innovation, energy security, and global clean energy transition in a smart, cost-effective, and secure way by advancing the latest technology and commercial leadership in emerging technologies that provide firm, reliable electricity and industrial heat. Support under WECAN can include prerequisite technical and regulatory assistance and feasibility studies for those countries to pursue innovative nuclear technologies that increase access to clean, reliable energy and support climate objectives. As a first step toward enhancing cooperation under WECAN, the USA and Japan announced a partnership with Ghana to support Ghana's ambition of being a first mover in SMR deployment in Africa and establishing itself as an advanced nuclear technology hub. The announcement follows a 6-7 October visit to Ghana by US Deputy Secretary of Energy David Turk and an interagency team, including the State Department, for consultations on enhancing cooperation on civil nuclear energy with the government of Ghana. As an initial step, the Japan government is supporting an SMR feasibility study to be carried out by Japanese and US industry - IHI Corporation, JGC Corporation, Regnum Technology Group and NuScale Power - in collaboration with the government of Ghana, through its agencies Nuclear Power Ghana, Nuclear Regulatory Authority and the Nuclear Power Institute of the Ghana Atomic Energy Commission.",CONTRADICT
"X-energy will operate a facility capable of producing up to 714,000 TRISO fuel pebbles per year",X-energy,"maintenance and modification US company Holtec International has established a wholly-owned subsidiary aiming to ""energise the presently placid business sector of modification and maintenance"", with the initial project being the restart of the Palisades plant. Holtec Maintenance & Modification International (HMI) is based in Chattanooga, Tennessee, and is being headed by Christopher Bakken. In its statement announcing the move, Holtec International said the new company's mission was ""to meet the time-critical maintenance and modification needs of the world’s operating nuclear power plants with assured performance certainty"". It added: ""To provide maximum value to its clients, HMI is poised to introduce cutting edge technologies such as AI-aided preventive maintenance and robot-led crew radiation dose reduction methods at its clients’ plants ... we believe the HMI management model will bring about a vastly improved control of operating costs of nuclear plants and ensure heightened plant reliability, which will support the expected renaissance in nuclear generation around the world."" HMI will operate under its parent company's programmes on nuclear quality assurance, environmental protection, personnel safety assurance, corporate governance and supply management ""but will be otherwise autonomous"". It will work with Holtec’s Nuclear Power Division ""to provide replacement components and systems - reverse engineered as necessary to replace obsolescent items - to meet target outage schedules"". As well as its initial work on the project to restart the 840 MWe Palisades plant, Holtec says that ""discussions with other clients in the USA and overseas are under way"". Rick Springman, Holtec’s President of Global Clean Energy Opportunities, said: ""With the launch of HMI, we can now provide an integrated capability to meet the operating needs of the scores of SMR-300 plants that we hope to be building in the US and around the world.""",NEI
Argentina has its own pilot small modular reactor - CAREM - under construction.,null,"Above: Rolls Royce has developed one of a number of reactor designs for use in the UK market The UK’s Department for Environment, Food and Rural Affairs (Defra) wants to expand its capacity for assessing new nuclear technologies. The need arises because it is anticipating that over a five-year period at least five industry applications will be received for Regulatory Justification, although that figure “may increase or decrease as interest in nuclear energy generation evolves”. It is considering options for procuring expert consultancy services to support the assessments, which it says are expected to be in the order of one or two applications per year. Defra is Justifying Authority under the Justification of Practices Involving Ionising Radiation Regulations 2004 (1769/2004), which require functional separation between the Department of Energy Security and Net Zero (DESNZ), which is the UK government department promoting nuclear technology, and Defra as the Justifying Authority. Defra says the services will be required from late 2024 or early 2025. It has begun a market engagement exercise in advance of a planned £8.8m (US$XXm) tender. The option to approach the market with a tender for a dedicated multi-supplier framework is being considered alongside other potential routes to market. The market engagement exercise aims to better understand the interest, capability and capacity of the supply market to provide these services in any future invitation to tender. Examples of the type of services expected to be required include ongoing technical advisory, analytical and consultancy support throughout the multi-month assessment of a Justification application, or shorter projects which may involve written advice and assessments of the appropriacy of the definitions of a class or type of practice of new nuclear technologies, analysis of specific issues raised by consultation respondents or comparison of specific aspects of current and previous applications. The duration of assessments will depend on the nature of the applications, but it is anticipated that external technical support may last for up to a period of approximately 19 months for each application.",NEI
GEH said it is developing a UK supply chain which includes a memorandum of understanding with Sheffield Forgemasters for a potential supply agreement for UK-sourced steel forgings in support of the deployment of BWRX-300 small modular reactors (SMRs).,Sheffield Forgemasters,"Russia and the Republic of Sakha (Yakutia) have signed an agreement on the sidelines of the Eastern Economic Forum in Vladivostok for the development of a mineral resource centre in the Arctic part of the Sakha Republic (Yakutia). The agreement was signed by Alexei Chekunkov, Russia’s Minister for the Development of the Far East and the Arctic; Dmitry Tetenkin, Deputy Minister of Natural Resources and Ecology; Aisen Nikolaev, Head of the Republic of Sakha (Yakutia); and Alexei Likhachev, Director General of Rosatom in the presence of Russian Deputy Prime Minister and Presidential Representative in the Far Eastern Federal District, Yuri Trutnev. It detailed development of the centre, including the deposits of Kyuchus, Deputatskoye, Tirekhtyakh, and the construction of transport and engineering infrastructure, and social facilities in the Ust-Yansky ulus (district) and the Verkhoyansky district Yakutia. The need to build a 110 (220) kW power line ""Ust-Kuyga – Selenyakh – Tirekhtyakh – Deputatsky"" was also confirmed. The agreement provides for the development of a Comprehensive Plan for the creation of a mineral resource centre in Yakutia using electricity supplied by a low-power nuclear power plant based on two RITM-200N reactors. It outlined possible conditions for the implementation of the project on the principles of public-private partnership.",NEI
EDF's Nuward small modular reactor technologies will be studied by Energoatom,EDF,"Taking these considerations into account, it is important that all parties; whether local or foreign, are well-informed about the legal pitfalls they may face while working their way along the delicate path needed for the growth of nuclear energy in India. Mitigating legal risks: learnings from India and abroad NPP projects have a long history of disputes. The Olkiluoto 3 power plant in Finland, being designed and constructed by the French-German supplier consortium of Areva-Siemens for the owner Teollisuuden Voima Oyj (TVO), was due to have been completed in 2009 but has still not achieved Takeover. This had led to ICC arbitrations running for a decade. More recently, EDF made a EUR1.5bn claim from Areva in 2021 for Flamanville 3’s operating losses. The stringent process unique to the nuclear industry can lead to delays in the issuance of licensing approvals, which can then delay the planned construction schedule. Moreover, if the applicable regulations change during the construction period, the contractor may have to adapt its work to the new standards. For example, after the 9/11 terrorist attacks, regulators required design changes to consider the possibility of a plane crashing into an NPP. Likewise, after the Fukushima Daiichi nuclear accident in 2011, regulators required design changes to address similar NPP vulnerabilities. India is no different, and delays have already occurred in the construction of some NPPs such as the Kundankulam plant. Disputes in the nuclear sector can be mitigated if there is proper understanding and management of the associated risks from an early stage. First, risks can be managed during the procurement and contract drafting stage. The construction contract must specify and define the objectives in the order of their priority, such as scope of work and performance requirements, price, and time of completion, as well as the circumstances giving rise to extension of time and additional costs.",NEI
"Clean, low-carbon nuclear energy should be explicitly included in national green taxonomies with extensive and clear parameters to facilitate access to green financing for nuclear power plants and small modular reactor projects.",,"Grossi noted that, since the last Fusion Energy Conference, in 2021, there have been momentous achievements in the field. These include JET’s world energy record; the US National Ignition Facility’s scientific energy gain; Massachusetts Institute of Technology and Commonwealth Fusion Systems’ high-temperature superconducting magnet; and in China, EAST’s long-pulse operation. Meanwhile, more than $6bn has gone into the private sector. He announced that, next year, IAEA will convene the inaugural World Fusion Energy Group bringing together indispensable scientists and engineers, policy makers, financiers, regulators and civil society. “This next leg of the fusion energy journey will get us from experiment to demonstration to commercial fusion energy production,” he said. He added that the IAEA will continue to support research in fusion through its Coordinated Research Programmes. “We will continue to provide and manage important atomic and plasma physics data through seven fusion databases.” Grossi said the Agency’s Fusion Portal, which has more than 10,000 users a year, is home to the Fusion Device Information System, which has been visited more than 40,000 times. The IAEA’s Nuclear Fusion journal continues publication after more than 60 years. Gross predicted that private-public partnerships will become increasingly important as the emphasis on R&D for fusion power plants grows. “We are seeing more and more start-ups enter this space. Many, like Kyoto Fusioneering, will become important parts of the supply chain that builds the fusion power industry. But like a puzzle, these pieces only become a coherent picture when you align them.” IAEA is able to align fusion energy R&D programmes “to give us a clearer picture of where the sector is heading”. This will help make the most of existing facilities and optimise the development of new ones.",NEI
"Going forward, GE Vernova plans to continue to be a best-in-class services partner for our other Steam Power customers and is focused on advancing the future of nuclear power with our small modular reactor technology",GE Vernova,"IAEA Director General Rafael Mariano Grossi addressed the 26th World Energy Congress in the Netherlands organised by the World Energy Council (WEC). This year’s event, held in Rotterdam under the slogan “Redesigning Energy for People and Planet”, brought together 70 ministers from 150 countries, as well as some 7,000 international energy stakeholders. In a session that considered the need for increased investments and the challenges in financing nuclear newbuild projects, Grossi cited the technology sector as a potential new market for advanced nuclear technologies. According to the International Energy Agency, electricity consumption from data centres, artificial intelligence (AI) and cryptocurrencies account for 2% of global electricity consumption, but may double by 2026. “The nuclear industry and the IAEA are taking a prospective look at the future of nuclear energy, for example talking to AI and data centre companies that are considering nuclear as a tailor-made solution for their clean firm electricity supply needs,” Grossi noted. “Nuclear fit for purpose, in other words.” The IAEA also took an active role in side events at the World Energy Congress. This included a session organised by the Asian Development Bank that examined the role of integrated energy planning and financing approaches for clean energy projects Asia and the Pacific, and an event on advanced reactor developments organised by the China National Nuclear Corporation (CNNC). The IAEA also organised a side event with speakers from the Directorate for Nuclear Energy in the Ministry of Economic Affairs and Climate Policy of the Netherlands, the Electric Power Research Institute, the United Nations Economic Commission for Europe and the World Nuclear Association. The event focused on the opportunities and challenges that the sector will face in the coming years as the push to reach net zero by mid-century accelerates. Image: IAEA Director General Rafael Mariano Grossi speaking at the World Energy Congress 2024 (courtesy of IAEA)",NEI
